"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","597.00","598.50","601.85","595.48","89.51M","-1.12%"
"06/12/2025","603.75","600.01","603.75","599.52","64.13M","0.40%"
"06/11/2025","601.36","604.19","605.06","599.27","73.66M","-0.29%"
"06/10/2025","603.08","600.22","603.47","599.09","66.25M","0.57%"
"06/09/2025","599.68","599.72","601.25","598.49","53.02M","0.09%"
"06/06/2025","599.14","598.66","600.83","596.86","66.59M","1.03%"
"06/05/2025","593.05","597.63","599.00","591.05","92.44M","-0.48%"
"06/04/2025","595.93","596.96","597.95","595.49","57.31M","-0.03%"
"06/03/2025","596.09","592.34","597.08","591.85","63.61M","0.57%"
"06/02/2025","592.71","587.76","592.79","585.06","61.63M","0.56%"
"05/30/2025","589.39","588.93","591.13","583.23","90.60M","-0.11%"
"05/29/2025","590.05","593.06","593.20","586.07","70.07M","0.39%"
"05/28/2025","587.73","591.56","592.77","586.98","68.45M","-0.58%"
"05/27/2025","591.15","586.07","591.31","578.43","72.59M","2.08%"
"05/23/2025","579.11","575.98","581.81","575.60","76.03M","-0.68%"
"05/22/2025","583.09","582.66","586.62","581.41","70.86M","0.04%"
"05/21/2025","582.86","588.44","592.58","581.82","95.20M","-1.69%"
"05/20/2025","592.85","593.09","594.05","589.60","60.61M","-0.34%"
"05/19/2025","594.85","588.10","595.54","588.10","68.17M","0.11%"
"05/16/2025","594.20","591.25","594.50","589.28","76.05M","0.63%"
"05/15/2025","590.46","585.56","590.97","585.10","71.27M","0.49%"
"05/14/2025","587.59","587.81","588.98","585.53","66.28M","0.13%"
"05/13/2025","586.84","583.41","589.08","582.84","67.95M","0.66%"
"05/12/2025","582.99","581.47","583.00","577.04","78.99M","3.30%"
"05/09/2025","564.34","566.48","567.50","562.76","37.60M","-0.13%"
"05/08/2025","565.06","565.24","570.31","561.70","65.13M","0.70%"
"05/07/2025","561.15","560.15","563.82","556.04","55.73M","0.42%"
"05/06/2025","558.80","557.93","563.35","556.96","48.26M","-0.84%"
"05/05/2025","563.51","562.57","566.65","561.70","38.66M","-0.57%"
"05/02/2025","566.76","564.73","568.38","562.38","60.72M","1.48%"
"05/01/2025","558.47","560.37","564.07","557.86","63.19M","0.71%"
"04/30/2025","554.54","547.57","556.52","541.52","93.10M","0.04%"
"04/29/2025","554.32","548.91","555.45","548.55","47.78M","0.63%"
"04/28/2025","550.85","551.39","553.55","545.02","47.61M","0.04%"
"04/25/2025","550.64","546.65","551.05","543.69","61.12M","0.72%"
"04/24/2025","546.69","536.72","547.43","535.45","64.15M","2.10%"
"04/23/2025","535.42","540.43","545.43","533.88","90.59M","1.55%"
"04/22/2025","527.25","520.14","529.30","519.19","75.95M","2.60%"
"04/21/2025","513.88","521.16","521.70","508.46","69.37M","-2.38%"
"04/17/2025","526.41","527.64","531.16","523.91","79.87M","0.14%"
"04/16/2025","525.66","531.68","537.89","520.29","83.48M","-2.22%"
"04/15/2025","537.61","539.67","543.23","536.81","56.89M","-0.28%"
"04/14/2025","539.12","544.05","544.28","533.86","68.03M","0.97%"
"04/11/2025","533.94","523.01","536.43","520.07","97.87M","1.78%"
"04/10/2025","524.58","532.17","533.49","509.32","162.33M","-4.38%"
"04/09/2025","548.62","493.44","548.62","493.05","241.87M","10.50%"
"04/08/2025","496.48","521.86","524.98","489.16","165.82M","-1.57%"
"04/07/2025","504.38","489.19","523.17","481.80","256.61M","-0.18%"
"04/04/2025","505.28","523.67","525.87","505.06","217.97M","-5.85%"
"04/03/2025","536.70","545.11","547.97","536.70","125.99M","-4.93%"
"04/02/2025","564.52","555.05","567.42","554.81","76.01M","0.63%"
"04/01/2025","560.97","557.45","562.94","553.68","54.61M","0.28%"
"03/31/2025","559.39","549.83","560.71","546.87","95.33M","0.67%"
"03/28/2025","555.66","565.53","566.27","555.07","71.66M","-2.01%"
"03/27/2025","567.08","567.18","570.90","564.94","42.16M","-0.27%"
"03/26/2025","568.59","575.19","576.33","567.19","52.23M","-1.19%"
"03/25/2025","575.46","575.30","576.41","573.69","38.36M","0.24%"
"03/24/2025","574.08","570.80","575.15","570.20","58.77M","1.79%"
"03/21/2025","563.98","559.28","564.89","558.03","83.76M","-0.27%"
"03/20/2025","565.49","563.33","570.57","562.60","62.96M","-0.29%"
"03/19/2025","567.13","562.83","570.95","561.63","66.56M","1.09%"
"03/18/2025","561.02","564.80","565.02","559.06","66.04M","-1.08%"
"03/17/2025","567.15","562.79","569.71","562.35","49.01M","0.77%"
"03/14/2025","562.81","556.11","563.83","551.49","62.66M","2.07%"
"03/13/2025","551.42","558.49","559.10","549.68","74.08M","-1.33%"
"03/12/2025","558.87","562.17","563.11","553.69","69.59M","0.53%"
"03/11/2025","555.92","559.40","564.02","552.02","88.10M","-0.83%"
"03/10/2025","560.58","567.59","569.54","555.59","99.33M","-2.66%"
"03/07/2025","575.92","570.90","577.39","565.63","81.16M","0.56%"
"03/06/2025","572.71","575.48","580.17","570.12","80.09M","-1.78%"
"03/05/2025","583.06","576.69","584.88","573.08","71.23M","1.07%"
"03/04/2025","576.86","579.71","585.39","572.25","109.65M","-1.18%"
"03/03/2025","583.77","596.18","597.34","579.90","74.25M","-1.75%"
"02/28/2025","594.18","585.56","594.72","582.44","88.74M","1.56%"
"02/27/2025","585.05","596.85","598.02","584.65","74.20M","-1.60%"
"02/26/2025","594.54","595.93","599.58","591.86","43.32M","0.05%"
"02/25/2025","594.24","597.15","597.89","589.56","58.27M","-0.50%"
"02/24/2025","597.21","602.02","603.03","596.49","50.74M","-0.46%"
"02/21/2025","599.94","610.16","610.30","599.47","76.52M","-1.71%"
"02/20/2025","610.38","611.54","611.68","607.02","36.55M","-0.42%"
"02/19/2025","612.93","610.08","613.23","609.56","31.01M","0.24%"
"02/18/2025","611.49","610.88","611.49","608.38","26.75M","0.29%"
"02/14/2025","609.70","609.94","610.99","609.07","26.91M","0.00%"
"02/13/2025","609.73","604.48","609.94","603.20","40.92M","1.06%"
"02/12/2025","603.36","599.20","604.55","598.51","45.08M","-0.32%"
"02/11/2025","605.31","602.55","605.86","602.43","30.06M","0.08%"
"02/10/2025","604.85","604.03","605.50","602.74","26.05M","0.68%"
"02/07/2025","600.77","606.89","608.13","600.05","50.79M","-0.92%"
"02/06/2025","606.32","605.99","606.45","602.63","35.77M","0.35%"
"02/05/2025","604.22","600.64","604.37","598.58","30.65M","0.41%"
"02/04/2025","601.78","597.83","602.30","597.28","33.46M","0.67%"
"02/03/2025","597.77","592.67","600.29","590.49","65.86M","-0.67%"
"01/31/2025","601.82","607.50","609.96","601.05","66.67M","-0.53%"
"01/30/2025","605.04","603.96","606.60","600.72","39.28M","0.54%"
"01/29/2025","601.81","603.72","604.13","599.22","37.18M","-0.45%"
"01/28/2025","604.52","600.62","605.37","597.25","44.43M","0.86%"
"01/27/2025","599.37","594.81","599.69","594.64","70.36M","-1.41%"
"01/24/2025","607.97","609.81","610.78","606.80","34.60M","-0.29%"
"01/23/2025","609.75","605.80","609.75","605.52","41.15M","0.55%"
"01/22/2025","606.44","605.92","607.82","605.36","48.20M","0.56%"
"01/21/2025","603.05","600.67","603.06","598.67","42.53M","0.92%"
"01/17/2025","597.58","596.96","599.36","595.61","58.07M","1.00%"
"01/16/2025","591.64","594.17","594.35","590.93","43.32M","-0.19%"
"01/15/2025","592.78","590.33","593.94","589.20","56.90M","1.82%"
"01/14/2025","582.19","584.36","585.00","578.35","48.42M","0.14%"
"01/13/2025","581.39","575.77","581.75","575.35","47.91M","0.16%"
"01/10/2025","580.49","585.88","585.95","578.55","73.11M","-1.53%"
"01/08/2025","589.49","588.70","590.58","585.20","47.30M","0.15%"
"01/07/2025","588.63","597.42","597.75","586.78","60.39M","-1.13%"
"01/06/2025","595.36","596.27","599.70","593.60","47.68M","0.58%"
"01/03/2025","591.95","587.53","592.60","586.43","37.89M","1.25%"
"01/02/2025","584.64","589.39","591.13","580.50","50.20M","-0.25%"
"12/31/2024","586.08","589.91","590.64","584.42","57.05M","-0.36%"
"12/30/2024","588.22","587.89","591.74","584.41","56.58M","-1.14%"
"12/27/2024","595.01","597.54","597.78","590.76","64.97M","-1.05%"
"12/26/2024","601.34","599.50","602.48","598.08","41.34M","0.01%"
"12/24/2024","601.30","596.06","601.34","595.47","33.16M","1.11%"
"12/23/2024","594.69","590.89","595.30","587.66","57.64M","0.60%"
"12/20/2024","591.15","581.77","595.75","580.91","125.72M","0.86%"
"12/19/2024","586.10","591.36","593.00","585.85","85.92M","-0.03%"
"12/18/2024","586.28","603.98","606.41","585.89","108.25M","-2.98%"
"12/17/2024","604.29","604.19","605.17","602.89","55.77M","-0.41%"
"12/16/2024","606.79","606.00","607.78","605.21","43.70M","0.43%"
"12/13/2024","604.21","606.40","607.13","602.81","35.90M","-0.02%"
"12/12/2024","604.33","606.58","607.16","604.33","31.54M","-0.52%"
"12/11/2024","607.46","605.78","608.43","605.50","28.68M","0.77%"
"12/10/2024","602.80","605.37","605.80","602.13","37.23M","-0.31%"
"12/09/2024","604.68","607.69","607.86","604.08","34.74M","-0.51%"
"12/06/2024","607.81","607.44","609.07","607.02","31.24M","0.19%"
"12/05/2024","606.66","607.66","608.48","606.30","28.76M","-0.16%"
"12/04/2024","607.66","605.63","607.91","604.95","42.79M","0.62%"
"12/03/2024","603.91","603.39","604.16","602.34","26.91M","0.05%"
"12/02/2024","603.63","602.97","604.32","602.47","31.75M","0.18%"
"11/29/2024","602.55","599.66","603.35","599.38","30.18M","0.62%"
