"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2025","243.04","249.15","250.38","242.17","46.00M","-2.86%"
"11/05/2025","250.20","249.03","251.00","246.16","40.61M","0.35%"
"11/04/2025","249.32","250.38","257.01","248.66","51.55M","-1.84%"
"11/03/2025","254.00","255.36","258.60","252.90","96.00M","4.00%"
"10/31/2025","244.22","250.10","250.50","243.98","166.34M","9.58%"
"10/30/2025","222.86","227.06","228.44","222.75","102.25M","-3.23%"
"10/29/2025","230.30","231.67","232.82","227.76","52.04M","0.46%"
"10/28/2025","229.25","228.21","231.49","226.21","47.10M","1.00%"
"10/27/2025","226.97","227.66","228.40","225.54","38.27M","1.23%"
"10/24/2025","224.21","221.97","225.40","221.90","38.69M","1.41%"
"10/23/2025","221.09","219.00","221.30","218.18","31.54M","1.44%"
"10/22/2025","217.95","219.30","220.01","216.52","44.31M","-1.84%"
"10/21/2025","222.03","218.43","223.32","217.99","50.49M","2.56%"
"10/20/2025","216.48","213.88","216.69","213.59","38.88M","1.61%"
"10/17/2025","213.04","214.56","214.80","211.03","45.99M","-0.67%"
"10/16/2025","214.47","215.67","218.59","212.81","42.41M","-0.51%"
"10/15/2025","215.57","216.62","217.71","212.66","45.91M","-0.38%"
"10/14/2025","216.39","215.55","219.32","212.60","45.67M","-1.67%"
"10/13/2025","220.07","217.70","220.68","217.04","37.81M","1.71%"
"10/10/2025","216.37","226.21","228.25","216.00","72.37M","-4.99%"
"10/09/2025","227.74","224.99","228.21","221.75","46.41M","1.12%"
"10/08/2025","225.22","222.92","226.73","221.19","46.69M","1.55%"
"10/07/2025","221.78","220.88","222.89","220.17","31.19M","0.40%"
"10/06/2025","220.90","221.00","221.73","216.03","43.69M","0.63%"
"10/03/2025","219.51","223.44","224.20","219.34","43.64M","-1.30%"
"10/02/2025","222.41","221.01","222.81","218.95","41.26M","0.81%"
"10/01/2025","220.63","217.36","222.15","216.61","43.93M","0.48%"
"09/30/2025","219.57","222.03","222.24","217.89","48.40M","-1.17%"
"09/29/2025","222.17","220.08","222.60","219.30","44.26M","1.09%"
"09/26/2025","219.78","219.08","221.05","218.02","41.65M","0.75%"
"09/25/2025","218.15","220.06","220.67","216.47","52.23M","-0.94%"
"09/24/2025","220.21","224.15","224.56","219.45","49.51M","-0.23%"
"09/23/2025","220.71","227.83","227.86","220.07","70.96M","-3.04%"
"09/22/2025","227.63","230.56","230.57","227.51","45.91M","-1.66%"
"09/19/2025","231.48","232.37","234.16","229.70","97.94M","0.11%"
"09/18/2025","231.23","232.50","233.48","228.79","37.93M","-0.17%"
"09/17/2025","231.62","233.77","234.30","228.71","42.82M","-1.04%"
"09/16/2025","234.05","232.93","235.90","232.23","38.20M","1.13%"
"09/15/2025","231.43","230.63","233.73","230.32","33.24M","1.44%"
"09/12/2025","228.15","230.35","230.79","226.29","38.50M","-0.78%"
"09/11/2025","229.95","231.49","231.53","229.34","37.49M","-0.16%"
"09/10/2025","230.33","237.51","237.68","229.10","60.91M","-3.32%"
"09/09/2025","238.24","236.35","238.85","235.08","27.03M","1.02%"
"09/08/2025","235.84","234.94","237.60","233.75","33.95M","1.51%"
"09/05/2025","232.33","235.19","236.00","231.93","36.72M","-1.42%"
"09/04/2025","235.68","231.18","235.77","230.78","59.39M","4.29%"
"09/03/2025","225.99","225.21","227.17","224.36","29.22M","0.29%"
"09/02/2025","225.34","223.52","226.17","221.83","38.84M","-1.60%"
"08/29/2025","229.00","231.32","231.81","228.16","26.20M","-1.12%"
"08/28/2025","231.60","229.01","232.71","228.02","33.68M","1.08%"
"08/27/2025","229.12","228.57","229.87","227.81","21.25M","0.18%"
"08/26/2025","228.71","227.11","229.00","226.02","26.11M","0.34%"
"08/25/2025","227.94","227.35","229.60","227.31","22.63M","-0.39%"
"08/22/2025","228.84","222.79","229.14","220.82","37.32M","3.10%"
"08/21/2025","221.95","222.65","222.78","220.50","32.14M","-0.83%"
"08/20/2025","223.81","227.12","227.27","220.91","36.60M","-1.84%"
"08/19/2025","228.01","230.09","230.53","227.12","29.89M","-1.50%"
"08/18/2025","231.49","230.23","231.91","228.33","25.25M","0.20%"
"08/15/2025","231.03","232.58","234.08","229.81","39.65M","0.02%"
"08/14/2025","230.98","227.40","233.11","227.02","61.55M","2.86%"
"08/13/2025","224.56","222.00","224.92","222.00","36.51M","1.40%"
"08/12/2025","221.47","222.23","223.50","219.05","37.25M","0.08%"
"08/11/2025","221.30","221.78","223.05","220.40","31.65M","-0.62%"
"08/08/2025","222.69","223.14","223.80","221.88","32.97M","-0.20%"
"08/07/2025","223.13","221.00","226.22","220.82","40.60M","0.37%"
"08/06/2025","222.31","214.70","222.65","213.74","54.82M","4.00%"
"08/05/2025","213.75","213.05","216.30","212.87","51.51M","0.99%"
"08/04/2025","211.65","217.40","217.44","211.42","77.89M","-1.44%"
"08/01/2025","214.75","217.21","220.44","212.80","122.26M","-8.27%"
"07/31/2025","234.11","235.77","236.53","231.40","104.36M","1.70%"
"07/30/2025","230.19","231.64","231.80","229.29","32.99M","-0.35%"
"07/29/2025","231.01","234.15","234.72","230.31","33.72M","-0.76%"
"07/28/2025","232.79","233.35","234.29","232.25","26.30M","0.58%"
"07/25/2025","231.44","232.22","232.48","231.18","28.71M","-0.34%"
"07/24/2025","232.23","229.17","236.00","228.64","42.90M","1.73%"
"07/23/2025","228.29","228.47","228.79","227.09","28.29M","0.36%"
"07/22/2025","227.47","229.68","230.00","226.35","37.48M","-0.80%"
"07/21/2025","229.30","225.84","229.69","225.65","40.30M","1.40%"
"07/18/2025","226.13","225.14","226.40","222.98","37.83M","1.01%"
"07/17/2025","223.88","223.32","224.50","222.51","31.86M","0.31%"
